House_Type,Transaction_Cycle,Num_Look,Attention,Floor,Construction_Area,Oriented,Age,Renovation,Construction_struct,Ladder_Ratio,Elevator,Trading_Authority,Storey,Latitude
327.5085142613878,0.8578947368421053,0.25,-0.4671532846715328,331.2211508227649,-0.5988023952095808,331.42416522609415,0.875,333.24383473897734,343.23836332562587,334.55401535112844,341.53726024525736,332.81354599573183,3.6666666666666665,-0.3094226297255772
331.2992456896552,-0.2578947368421053,-0.5,-0.7299270072992701,336.1734493113804,-0.2874251497005988,331.42416522609415,-1.375,341.5201149425288,326.6708099438653,328.31272294887043,328.8820073203622,337.1022654899464,0.0,0.2590020596638464
345.34747163159636,0.9421052631578948,-0.25,0.6423357664233577,337.44848806366053,1.3652694610778444,331.42416522609415,-0.04166666666666666,331.921366419594,343.23836332562587,338.3393103448276,341.53726024525736,337.1022654899464,0.8333333333333334,-1.848562886187056
327.5085142613878,5.4157894736842085,-0.75,0.9343065693430656,336.1734493113804,-0.5269461077844312,331.42416522609415,0.2083333333333333,341.5201149425288,343.23836332562587,338.3393103448276,328.8820073203622,337.1022654899464,0.0,1.2573782472926718
345.34747163159636,-0.4263157894736842,-0.5,-0.2043795620437956,331.2211508227649,1.2694610778443114,331.42416522609415,0.7083333333333334,333.24383473897734,343.23836332562587,338.3393103448276,341.53726024525736,337.1022654899464,1.0,0.3463955883330692
327.5085142613878,-0.5105263157894737,-0.25,-0.5547445255474452,336.1734493113804,-0.11976047904191615,331.42416522609415,0.2083333333333333,341.5201149425288,343.23836332562587,334.35844213815426,341.53726024525736,337.1022654899464,1.8333333333333333,1.2657869908977055
327.5085142613878,0.5421052631578948,1.5,0.0583941605839416,336.1734493113804,-0.40718562874251496,331.42416522609415,0.125,341.5201149425288,343.23836332562587,338.3393103448276,328.8820073203622,337.1022654899464,0.0,-0.031338781476315136
327.5085142613878,0.06842105263157895,2.0,0.9343065693430656,336.1734493113804,-0.4550898203592814,331.42416522609415,0.2916666666666667,333.24383473897734,343.23836332562587,338.3393103448276,328.8820073203622,337.1022654899464,0.0,1.1678479835227848
338.10205177784945,2.5105263157894737,0.0,2.54014598540146,336.1734493113804,0.0,331.42416522609415,0.5416666666666666,341.5201149425288,343.23836332562587,338.3393103448276,328.8820073203622,337.1022654899464,0.0,-0.08225898611384433
345.34747163159636,-0.6368421052631579,-0.75,-0.7299270072992701,331.2211508227649,1.221556886227545,335.77403516784665,0.2083333333333333,333.24383473897734,343.23836332562587,338.3393103448276,341.53726024525736,337.1022654899464,0.8333333333333334,-0.08225898611384433
327.5085142613878,0.8473684210526315,1.0,0.17518248175182485,331.2211508227649,-0.7425149700598802,331.42416522609415,-1.375,332.6897674941032,326.6708099438653,328.31272294887043,328.8820073203622,337.1022654899464,-0.16666666666666666,0.41081655703944936
333.56170598911075,5.194736842105264,0.0,0.7299270072992701,331.2211508227649,0.04790419161676647,331.42416522609415,-0.625,331.921366419594,326.6708099438653,328.31272294887043,328.8820073203622,337.1022654899464,0.0,0.3062015812903451
338.10205177784945,4.478947368421053,-0.5,-0.1167883211678832,331.2211508227649,0.5508982035928144,331.42416522609415,0.125,341.5201149425288,343.23836332562587,338.3393103448276,341.53726024525736,337.1022654899464,0.5,-0.06382565942459721
327.5085142613878,0.13157894736842105,0.75,-0.7299270072992701,331.2211508227649,-0.33532934131736525,331.42416522609415,0.875,333.24383473897734,343.23836332562587,334.35844213815426,328.8820073203622,332.81354599573183,2.0,-0.8001700883662377
327.5085142613878,-0.33157894736842103,-0.75,-0.0583941605839416,337.44848806366053,-0.7185628742514971,331.42416522609415,-0.625,333.24383473897734,326.6708099438653,334.35844213815426,328.8820073203622,337.1022654899464,0.0,1.0071357384892121
338.10205177784945,0.5631578947368421,-0.75,0.9927007299270072,336.1734493113804,0.4790419161676647,331.42416522609415,0.2083333333333333,341.5201149425288,343.23836332562587,338.3393103448276,328.8820073203622,337.1022654899464,0.0,-1.848562886187056
331.2992456896552,1.0157894736842106,1.25,0.8175182481751825,337.44848806366053,-0.5748502994011976,331.42416522609415,-1.7083333333333333,331.921366419594,326.6708099438653,328.31272294887043,328.8820073203622,337.1022654899464,0.0,0.6523632981198081
327.5085142613878,-0.20526315789473684,0.75,1.956204379562044,337.44848806366053,-0.5269461077844312,331.42416522609415,-0.625,331.921366419594,326.6708099438653,338.3393103448276,328.8820073203622,337.1022654899464,0.0,-2.9596438774833658
327.5085142613878,0.5210526315789473,1.75,0.6715328467153284,331.2211508227649,-0.31137724550898205,331.42416522609415,0.7916666666666666,331.921366419594,343.23836332562587,334.35844213815426,341.53726024525736,332.81354599573183,1.8333333333333333,0.21119659823274048
331.2992456896552,3.4052631578947365,-0.5,0.0291970802919708,336.1734493113804,0.04790419161676647,331.42416522609415,-0.625,341.5201149425288,326.6708099438653,338.3393103448276,328.8820073203622,337.1022654899464,0.0,0.4324071490266809
331.2992456896552,-0.2684210526315789,1.0,0.4087591240875912,337.44848806366053,-0.7664670658682635,331.42416522609415,-1.125,341.5201149425288,326.6708099438653,328.31272294887043,328.8820073203622,337.1022654899464,0.0,0.3888326357053037
331.2992456896552,-0.5105263157894737,-0.5,-0.5255474452554745,336.1734493113804,-0.1437125748502994,331.42416522609415,-0.7916666666666666,341.5201149425288,326.6708099438653,338.3393103448276,328.8820073203622,337.1022654899464,0.0,1.950722211148881
