House_Type,Transaction_Cycle,Num_Look,Attention,Construction_Area,Age,Renovation,Construction_struct,Ladder_Ratio,Elevator,Storey,Ladder,Household,Longitude,Latitude
228.927951516074,149.0,4,9,46.0,2013.0,371.6407101397242,476.4473898105537,257.19285077637323,531.507560201135,28.0,1.0,6.0,121.514616,31.13369
635.5352806696375,8.0,4,8,150.0,2005.0,300.72293426818436,476.4473898105537,820.763247682032,531.507560201135,32.0,2.0,2.0,121.545452,31.234944
293.55005252601035,43.0,1,0,59.0,1986.0,417.69101719026787,248.84529627375198,251.14699678212293,271.2525831692349,6.0,1.0,4.0,121.504486,31.187161
475.65451782737455,105.0,18,167,89.0,2011.0,371.6407101397242,476.4473898105537,539.421077935057,531.507560201135,18.0,2.0,4.0,121.596303,31.122068
475.65451782737455,108.0,0,25,80.0,2008.0,371.6407101397242,476.4473898105537,251.14699678212293,531.507560201135,11.0,1.0,4.0,116.632891,40.329616
