,ID,Road,Community_Name,House_Type,Unit_Price,Listing_Price,Transaction_Cycle,Floor,Construction_Area,Oriented,Age,Renovation,Construction_struct,Elevator,Listing_Time
0,333.6037844864943,333.86712584301915,333.6037844864943,326.6257380568975,333.6037844864943,333.26072559746615,0.8578947368421053,331.4209009952855,-0.5988023952095808,330.15776397515526,0.875,332.73232862096563,342.5410349580253,339.80041906757464,333.6037844864943
1,334.1021233569262,333.7368496079829,334.1021233569262,330.40543478260867,334.1021233569262,334.31267039747456,-0.2578947368421053,333.6799371398638,-0.2874251497005988,330.15776397515526,-1.375,340.03768973501417,325.38764965343415,328.62983091787436,334.1021233569262
2,333.83966488516535,335.16254617789144,333.83966488516535,337.59796027911966,333.83966488516535,333.72761301468466,0.4263157894736842,336.90164369034994,0.2155688622754491,330.15776397515526,0.4583333333333333,332.73232862096563,342.5410349580253,339.80041906757464,333.83966488516535
3,334.0755452838365,335.16254617789144,334.0755452838365,343.67536231884066,334.0755452838365,334.0755452838365,0.33157894736842103,336.90164369034994,0.8383233532934131,330.15776397515526,0.125,332.73232862096563,342.5410349580253,328.62983091787436,334.0755452838365
4,335.4542828253646,334.9401282965075,335.4542828253646,343.67536231884066,335.4542828253646,335.4542828253646,0.9421052631578948,336.90164369034994,1.3652694610778444,330.15776397515526,-0.04166666666666666,331.0303399702018,342.5410349580253,339.80041906757464,335.4542828253646
5,333.6071067456305,333.14814281600917,333.6071067456305,326.6257380568975,333.6071067456305,332.83412254268904,5.4157894736842085,333.6799371398638,-0.5269461077844312,330.15776397515526,0.2083333333333333,340.03768973501417,342.5410349580253,328.62983091787436,333.6071067456305
6,333.9791997688863,331.38476840011367,333.9791997688863,343.67536231884066,333.9791997688863,333.9791997688863,-0.4263157894736842,331.4209009952855,1.2694610778443114,330.15776397515526,0.7083333333333334,332.73232862096563,342.5410349580253,339.80041906757464,334.54039316975184
7,334.2416582406471,334.9401282965075,334.2416582406471,326.6257380568975,334.2416582406471,334.5090699683272,-0.5105263157894737,333.6799371398638,-0.11976047904191615,330.15776397515526,0.2083333333333333,340.03768973501417,342.5410349580253,339.80041906757464,333.52719184961967
8,333.9160768452984,334.34350705441983,333.9160768452984,326.6257380568975,333.9160768452984,333.9160768452984,0.5421052631578948,333.6799371398638,-0.40718562874251496,330.15776397515526,0.125,340.03768973501417,342.5410349580253,328.62983091787436,333.9160768452984
9,333.52737252636143,333.14814281600917,333.52737252636143,326.6257380568975,333.52737252636143,333.52737252636143,0.06842105263157895,333.6799371398638,-0.4550898203592814,330.15776397515526,0.2916666666666667,332.73232862096563,342.5410349580253,328.62983091787436,333.52737252636143
10,333.6768741874909,335.16254617789144,333.6768741874909,337.59796027911966,333.6768741874909,333.6768741874909,2.5105263157894737,333.6799371398638,0.0,330.15776397515526,0.5416666666666666,340.03768973501417,342.5410349580253,328.62983091787436,333.6768741874909
11,334.56059511772355,335.16254617789144,334.56059511772355,343.67536231884066,334.56059511772355,334.56059511772355,-0.6368421052631579,331.4209009952855,1.221556886227545,334.82695076302906,0.2083333333333333,332.73232862096563,342.5410349580253,339.80041906757464,336.6757067011049
12,334.44099378881987,335.16254617789144,334.44099378881987,343.67536231884066,334.44099378881987,334.44099378881987,-0.4052631578947368,336.90164369034994,1.0538922155688624,330.15776397515526,0.2916666666666667,332.73232862096563,342.5410349580253,339.80041906757464,334.3203282464728
